concept	182 0
complexity	492.96 0.04
so	895.92 363.08
sb	6.9 0.1
restriction	119 0
holds	205 0
office	0 213
produces	123.74 234.26
yaser	13 0
paper	934.7 145.3
through	468.44 602.56
ity	80.78 34.22
still	513.26 124.74
denker	51 0
symmetry	70.98 58.02
how	725.12 376.88
coordinates	60.2 100.8
distinguishing	0.06 51.94
systems	673.66 444.34
main	515 0
versus	180.28 93.72
eventually	20.36 109.64
imple-	9.92 52.08
synapse	0 130
introduce	366 0
thus	557.78 406.22
now	819 0
nor	85.44 72.56
term	679.94 0.06
subset	361.78 0.22
el	61.9 0.1
doing	156 0
ea	18.98 0.02
idea	450.84 0.16
frequency	0.02 384.98
measure	513.3 124.7
our	942.14 430.86
es	35 0
out	611.16 298.84
taneously	10 0
network	718.98 619.02
restricted	296.96 0.04
since	887.48 366.52
research	542.04 463.96
theory	623.4 129.6
state	493.1 304.9
mechanisms	0 236
diagonal	236.96 0.04
california	64.12 175.88
biological	0 400
estimate	664.94 0.06
training	1041.86 0.14
interaction	0 213
g	520.98 0.02
connectivity	0 172
times	314.36 244.64
length	266.72 174.28
circuit	0.52 222.48
hence	301 88
xn	40 0
probability	865 0
relate	80 0
powerful	203.58 2.42
scene	0.08 137.92
restrict	137.98 0.02
directly	395.7 211.3
force	112.38 97.62
illustrate	143.26 60.74
their	669.18 674.82
approximately	166.82 256.18
needed	287.5 150.5
assumption	438 0
expand	65.88 13.12
bits	183.78 0.22
final	380.3 191.7
part	397.16 399.84
tive	92.24 68.76
specify	168 0
plausible	0.02 179.98
second	666.6 464.4
r	745.96 0.04
supposed	0 42
ber	0 72
sees	43.6 8.4
need	631.78 118.22
seen	269.04 327.96
any	930.02 346.98
implemented	94.48 359.52
zero	584.8 111.2
depending	179.28 175.72
ideas	190.96 0.04
mechanism	0 337
internal	0 409
switching	0 110
shall	160 0
most	767.2 483.8
connected	0.14 474.86
quantitative	0 135
measured	151.84 312.16
ceedings	40.98 0.02
vertices	43.86 0.14
axe	52 0
physics	142.06 110.94
fact	553.06 111.94
show	818.2 301.8
supported	282.64 432.36
relation	187.42 93.58
substituting	106 0
menting	0 10
networks	900.08 320.92
knowledge	499 0
parameters	811.84 129.16
written	313.98 0.02
going	100 0
local	498.6 382.4
handle	108.74 40.26
get	433 0
overall	173.44 256.56
cannot	443.4 131.6
neural-network	37 0
during	301.46 592.54
runs	242 0
h	472.98 0.02
twice	84.96 42.04
x	1073.12 132.88
fixed	643.2 201.8
discussing	18.62 0.38
throwing	0 10
maximum	556.14 148.86
relative	266.04 344.96
depends	431.18 164.82
result	717.32 238.68
analog	0 277
learns	4.1 278.9
ways	245 0
pattern	304.16 587.84
away	138.34 96.66
label	166.96 0.04
enough	271.62 171.38
drawn	310.92 0.08
neither	112.68 33.32
available	404.98 194.02
terms	788.66 65.34
ability	229.78 254.22
jr	23.44 0.56
jl	0 16
off-diagonal	25 0
distribution	806.86 0.14
restrictions	71 0
c	644.48 158.52
last	411.44 74.56
many	719.2 525.8
according	581.72 142.28
variance	430.82 0.18
contribution	197 0
expression	286 0
point	776.16 228.84
ca	140.78 309.22
corresponds	371.72 182.28
environments	38.28 33.72
learning	1108.64 189.36
respect	677 0
conference	450.3 54.7
capable	0.06 247.94
two-input	6 0
describes	230.32 133.68
basic	243.78 303.22
expected	527.12 54.88
define	625 0
generating	191.24 99.76
corresponding	713.98 260.02
essentially	181.28 83.72
complex-	16 0
those	556.58 429.42
case	1022.14 154.86
value	908.86 256.14
air	84.56 27.44
technical	565.98 0.02
while	613.26 565.74
suppose	276 0
neuron	0.02 416.98
vl	34 0
neurons	0 529
ready	37 1
technology	184.28 177.72
binary	443.78 21.22
grant	326.58 116.42
perform	462.24 226.76
suggest	91.34 284.66
make	560.52 260.48
evaluate	295 0
finite	450 0
independent	613.92 155.08
uniform	327 0
edges	31.7 116.3
uses	475.86 210.14
tune	0.02 43.98
vironment	0.6 6.4
lower	427.56 246.44
acknowledgement	191 0
patterns	0.14 623.86
position	0.2 474.8
model	715.28 591.72
just	372.14 239.86
less	521.56 307.44
being	526.06 348.94
informal	0 12
conclude	140.98 0.02
easy	324.98 0.02
theorem	273 0
input	633.36 722.64
rules	194.9 109.1
big	47.76 9.24
possible	847.68 340.32
bit	56.44 155.56
formal	140.9 0.1
follows	347 0
collective	0 99
benefit	110.9 0.1
imposes	40.96 0.04
arbitrary	453 0
become	292.94 178.06
disorder	0 18
because	673.96 412.04
examples	717.96 0.04
choosing	302 0
loaded	25.98 0.02
gradually	31.12 112.88
opposite	0 160
per	270.34 325.66
everything	0.04 28.96
does	788.98 318.02
exposition	14.98 0.02
provides	405.32 238.68
scientific	70.82 74.18
equivalent	572 0
bt	17 0
step	516.28 197.72
although	518.84 285.16
properties	318.38 392.62
about	577.82 471.18
carried	92.66 124.34
getting	66 0
pro-	258.22 122.78
own	82.52 125.48
bound	330.98 0.02
accommodate	19.06 22.94
accumulated	0.02 68.98
range	172.58 544.42
n-k	4 0
k-bit	3 0
statistics	332.96 0.04
log	372 0
assumed	394.88 103.12
start	316.52 0.48
much	562.86 425.14
low	202.8 420.2
complete	324.2 157.8
sophisticated	131 0
circuits	0 200
j	580.06 190.94
variations	0 212
up	455.06 344.94
problem	1197.88 0.12
z	574 0
definitions	86 0
defined	916 0
ao	49.96 0.04
denote	456 0
defines	204 0
functions	794.62 88.38
no	848.22 521.78
interested	264 0
compares	119.52 38.48
you	42.98 0.02
picture	0 90
elements	312 196
problems	749.18 6.82
generated	536.46 225.54
variable	545.98 0.02
independently	302 0
e	1019 0
assume	756 0
american	74.86 145.14
together	249.12 134.88
starting	369.98 0.02
strings	0.02 77.98
externally	27.36 14.64
dynamic	2.9 498.1
resistance	0.12 50.88
illustrated	0 273
scalar	153.98 0.02
generalize	197 0
computation	398.48 296.52
consists	375.6 319.4
follow	161.98 72.02
widrow	32.98 2.02
adjustment	0.02 53.98
layers	52.76 250.24
semiconductor	8 0
leaming	0.04 40.96
inverse	282.64 0.36
deterministic	239 0
charge	0 55
device	0.06 102.94
seems	250.92 56.08
stable	73.74 238.26
discovering	58 0
stochastic	472.96 0.04
include	337.82 152.18
summarizes	85 0
division	56.42 74.58
worse	151.98 0.02
amplifier	0 47
activation	0 452
connects	0 50
eprom	0 4
choice	521.54 0.46
replication	0 21
manipulated	0 30
updates	168 0
decide	99.76 12.24
adaptive	361.22 142.78
timely	0 6
losleben	0.02 3.98
solves	0 82
level	130.22 535.78
issue	230.98 0.02
joel	0.04 5.96
solution	670 0
resistor	0 27
adjust	72.3 66.7
neuromorphic	0.1 40.9
science	511.74 298.26
small	731.08 435.92
correct	416.28 169.72
slower	45.54 72.46
incremented	0.04 16.96
sign	90.4 81.6
approximation	637 0
design	155.24 226.76
picked	65 0
pass	0.04 187.96
substitute	46.98 0.02
even	712.46 298.54
xor	47 0
sum	483.48 182.52
current	347.36 513.64
bipolar	0 33
above	662.28 257.72
activations	47.5 92.5
new	955.46 388.54
net	294.14 148.86
implementable	24.98 0.02
edited	7.68 28.32
focuses	61 0
chose	137 0
address	104.94 156.06
ratio	174.46 147.54
quite	333.4 146.6
teacher	93.92 0.08
change	243.1 414.9
settling	0.04 29.96
search	410.46 7.54
study	244.88 332.12
settles	0 32
allows	416.06 234.94
credit	60 0
suggestion	0.02 26.98
suitable	260.94 0.06
joshua	0 18
technique	489 0
useful	534.74 135.26
divide	88 0
family	169 0
integrator	0 29
vin	0 9
wij	16.72 79.28
highly	0.34 417.66
trained	584.28 166.72
counts	60 0
unit	422 327
lime	0 7
fed	0 135
refers	94 0
vlsi	0 152
coins	28.92 0.08
negative	285.3 174.7
fet	0 9
andy	10.98 0.02
therefore	521.3 197.7
memory	0 355
hinton	178 0
type	246.32 350.68
until	345.96 164.04
definition	300 0
controlling	0 115
effort	53.56 71.44
states	511 0
keeping	124.94 0.06
valued	102 0
f	662 0
mm	19.18 30.82
avoiding	86 0
ij	62 0
temperatures	0 33
following	933.5 202.5
making	381.92 105.08
averages	131 0
control	215.24 417.76
compare	357.42 76.58
renormalization	2.7 5.3
chip	0 129
high	349.62 478.38
effectively	111.3 129.7
critic	20.96 0.04
minimum	506.38 0.62
performed	381.02 297.98
magnitudes	54 0
sharp	0.18 90.82
counting	65 0
fets	0 4
goal	424.58 68.42
sit	10 0
provide	369.8 361.2
divided	189.02 74.98
arrangement	0.1 71.9
regions	74.58 305.42
criterion	298.8 0.2
fourth	0.02 128.98
answer	131.98 0.02
optimal	742.96 0.04
dominance	14.54 23.46
inputs	277.76 482.24
tried	114.56 4.44
influenced	0 58
plausibility	0 23
diagram	0.06 201.94
ff	71.6 2.4
fi	127 0
synchrony	0 29
parallel	0 573
types	177.6 289.4
man	0.1 74.9
gaussian	556.72 63.28
short	2.28 301.72
physical	90.94 189.06
effective	243.84 157.16
capacitances	0 12
computations	46.2 110.8
counter	0.16 24.84
explicit	322.96 0.04
summing	111 0
compressing	4.92 14.08
sj	46.78 0.22
annealing	108 0
hebb-type	0 11
algorithms	734 0
speeds	0.06 66.94
fundamental	92.92 111.08
correlation	70.72 263.28
representation	263.66 425.34
increase	200.28 335.72
order	812.64 394.36
recurrent	0.2 258.8
feedback	0 303
sigmoid	197 50
merit	0 23
stability	87.26 75.74
brain	0 380
thermal	0 39
experiments	423.34 318.66
supervised	270.98 0.02
statistical	671 0
reinforcement	156.32 3.68
differs	116.36 45.64
machine	590.84 1.16
style	54 0
decay	120.7 89.3
chosen	772.2 13.8
lo	53.84 66.16
temporal	0 461
decreases	115.48 145.52
winning	0 48
forms	168.24 107.76
absence	0 220
permanent	0.06 27.94
microscopic	0.2 25.8
decreased	0 117
hidden	746.7 0.3
might	314.54 246.46
pixel	0.02 194.98
them	410.24 225.76
good	669.42 79.58
greater	140.86 234.14
thereby	97.84 96.16
coding	0 234
often	485.72 176.28
time-averaged	0 10
tails	0.4 21.6
they	746.4 539.6
instead	559 0
synaptic	0.04 308.96
easily	542.96 0.04
gets	87.66 38.34
stabilize	0 36
adjacent	0 139
always	504.68 81.32
university	720.86 379.14
presented	434.58 418.42
applied	746.64 158.36
magnitude	115.18 224.82
reasonable	314 0
inherent	54.64 93.36
side	164.1 111.9
characterized	103.8 156.2
clamp	0 14
weighted	346.76 97.24
weight	666.24 135.76
tension	0 19
ee	0 22
reduce	407 0
principles	0.14 167.86
flip-flops	0 4
proportion	38.46 68.54
conductance	0 67
substantially	70.8 82.2
tuned	0 152
bly	0 6
space	857.4 140.6
gradient	584 0
quality	215 0
robert	76 0
squared	283 0
looking	140.98 0.02
performs	265.62 95.38
electronics	0.26 48.74
evaluation	240.7 0.3
integrated	0 233
shows	679.5 540.5
working	74.04 77.96
linear	847.7 162.3
standard	745.88 119.12
sensory	0 239
signal	158.92 531.08
approaches	519 0
formation	0.14 195.86
york	0 47
usual	214.98 0.02
asynchronous	67 0
non-specific	2.78 6.22
advance	61.98 0.02
could	434.34 511.66
creates	0 84
place	92.94 162.06
exponentially	169 0
w	550 0
south	0 25
major	83.72 186.28
features	91.18 524.82
question	291.72 0.28
improvements	137 0
another	452.76 312.24
representations	0.02 416.98
electronic	0 116
size	661.04 183.96
temperature	102 0
leading	175.98 46.02
caught	9.98 0.02
system	290.12 814.88
adopted	82 0
attack	21.98 0.02
rates	184.16 217.84
too	377 28
convention	25.8 10.2
normalization	130.44 47.56
molecular	0.02 56.98
structures	31.66 202.34
store	135.92 0.08
gives	663 0
way	562.38 264.62
releases	0 9
completed	0 40
continuous	489.02 96.98
favorable	31 0
somewhat	162.52 61.48
thai	0 6
believe	117.56 78.44
representing	106.38 329.62
diffusion	0.1 53.9
b	444.78 285.22
determines	131.98 163.02
third	263 136
double	0 87
future	323.58 97.42
tsividis	3.82 0.18
were	695.4 604.6
minus	35.46 29.54
lines	142.64 191.36
cohen	0 42
occupies	8.04 9.96
correspond	215.96 205.04
randomly	444.28 61.72
gale	0.06 5.94
winner-take-	0 6
increment	0 57
occupied	0 27
liapunov	0.14 12.86
strength	0 238
s-	23 0
efficient	501 0
latter	304 0
aside	28 0
note	934.54 22.46
potential	81.06 357.94
vice-versa	3.4 0.6
finding	459.88 40.12
victor	8.9 0.1
channel	0 147
specifying	101.98 0.02
play	0.02 149.98
transistor	0 62
multiple	209.1 379.9
electric	0 50
measures	226.24 53.76
techniques	557 0
boltzmann	94 0
significant	308.16 251.84
ccd	0.16 21.84
phase	0 359
adds	67 46
gain	0.02 295.98
operate	0.2 145.8
especially	213.08 73.92
unsupervised	150.9 59.1
considered	426.9 163.1
average	583.68 268.32
later	129.26 124.74
m	809.98 0.02
elucidating	0 6
proceedings	499.24 111.76
spatial	0 368
oscillates	10.2 13.8
section	782 0
western	0 14
particularly	181.9 129.1
speedup	35.88 0.12
polysilicon	0 8
attempts	109 93
radio	0.38 17.62
threshold	104.3 384.7
help	103 141
layout	0 39
implementation	170.02 263.98
simulation	115.78 379.22
guidance	0.02 25.98
winner	0 45
distributed	295.96 353.04
controls	0 143
should	709.54 322.46
increasingly	47.46 26.54
micron	0 12
factor	400.46 109.54
employed	147.98 29.02
anneal	0.06 8.94
hope	84.86 35.14
do	728.18 277.82
explorations	0.06 89.94
his	132.26 143.74
dependent	145.28 206.72
dc	0.02 60.98
nearly	64.12 154.88
timing	0 103
symmetrically	0 26
averaged	188.36 89.64
procedures	158 0
volatility	8 0
produced	109.02 264.98
processes	134.08 150.92
cooccurrence	0.56 1.44
ended	0 14
differential	94.78 152.22
summary	147.9 65.1
whether	279.54 290.46
architecture	182.1 467.9
cij	19.82 2.18
view	219.32 134.68
rms	0 39
multiplying	86 0
physically	0.02 34.98
attached	0 56
unpublished	48 0
correlations	61.68 132.32
emergent	0.02 88.98
operates	9.78 97.22
connections	0 473
see	688.4 151.6
individual	0.08 528.92
discussions	114.18 66.82
close	439.84 96.16
correlational	0 18
subject	149.6 127.4
phases	0 98
satisfying	104 0
plasticity	0 68
currently	127.66 196.34
dipole	0 5
artificial	493.34 116.66
unable	93 0
various	363.88 294.12
hopefully	23.46 0.54
tens	0.04 37.96
previous	503.26 288.74
conditions	346.96 155.04
across	0.06 417.94
discovery	54.92 22.08
preserve	70.96 0.04
multiplied	49.12 52.88
complementary	0.16 49.84
initially	0 239
wm	8.46 0.54
prior	466 0
weak	77.4 98.6
interpolate	0 31
implementing	0 164
ji	27 0
modeling	0.12 376.88
improve	412 0
received	49.22 123.78
reported	0.02 432.98
region	106.3 317.7
equal	499.64 133.36
presentations	0 55
called	658.88 0.12
assure	21 0
s	651 136
subthreshold	0 51
interesting	374.56 145.44
expense	58.06 1.94
ease	41.64 32.36
co	106.96 0.04
simple	718.42 445.58
had	213.52 338.48
simply	520.9 76.1
table	545 0
cq	0 13
better	726.6 55.4
described	526.18 559.82
tuning	0 158
basis	399.16 180.84
stretch	0.04 15.96
locally	216.26 23.74
due	558.66 337.34
geoffrey	61 0
cauchy	8 0
replicate	0 33
logarithmic	54.92 34.08
collected	13.82 110.18
correction	86 0
obtained	802.28 134.72
controlled	0 245
moved	0 89
competitive	88.68 74.32
clamping	0.02 19.98
unify	0 9
tanh	58.92 0.08
aip	0.24 22.76
cluster	94.28 45.72
optimization	375 0
wilh	5 0
behavior	177.44 383.56
error	1019 0
report	530.22 56.78
situation	125.94 61.06
gave	88.3 41.7
interconnected	0.02 87.98
procedure	565.92 0.08
styles	11.58 11.42
layer	257.38 396.62
studied	189.3 166.7
coupled	0 183
almost	270.3 102.7
surface	94.32 133.68
helped	0 33
characterize	77.84 67.16
converts	0.48 35.52
suggests	165.9 269.1
perhaps	101.38 95.62
cumulative	84 0
connection	83.38 314.62
complex	282.4 402.6
digital	0.04 177.96
propose	281.32 65.68
units	276.62 460.38
several	481.26 478.74
difficult	419.34 164.66
development	0 306
extended	319.9 42.1
columbia	0 6
closest	157 0
assignment	133 0
logic	0 76
effect	218.72 460.28
levels	0 361
moving	0.04 246.96
robust	181.3 130.7
outputs	289.94 289.06
recent	217.02 265.98
implements	0 127
task	473.02 229.98
whereby	2.32 41.68
nevertheless	49.94 0.06
variety	117.36 247.64
well	690 474
without	599.38 350.62
solve	394 0
components	341.18 204.82
y	552.98 0.02
organization	0 204
left	183.9 381.1
unified	68 0
graded	0.06 58.94
resistive	0 34
guided	1.62 54.38
obtain	640 0
valuable	102.62 2.38
bandwidth	27.96 39.04
stored	0.36 250.64
identify	96.12 151.88
voltage	0 165
aspect	0 148
jitter	0 16
rest	101.38 92.62
speed	134.1 200.9
electronically	0 9
based	800.62 492.38
adding	317 0
doctoral	0 24
comparisons	35.66 86.34
classification	537.78 0.22
hint	4.48 13.52
excites	0 16
percent	0 97
guaranteed	141 0
except	410.94 0.06
source	0 274
samples	328.98 0.02
technological	0 10
matched	0 115
take	511.06 130.94
real	448.26 247.74
saturation	0.02 65.98
zipset	0 18
mos	0 41
showing	122.96 150.04
transconductance	0 29
emanating	0.22 5.78
schematically	0 31
increases	121.5 263.5
inhibition	0.04 152.96
correlating	14 0
solid-state	0 18
modifying	81 0
advanced	66.04 128.96
cognitive	0.26 365.74
vertically	0 29
strengths	0 129
necessary	305.44 252.56
like	538.9 272.1
achieve	339.72 115.28
separately	7.9 114.1
communications	77 0
t	937.38 121.62
fully	207.96 186.04
output	546.78 625.22
works	365 0
reduced	282.1 155.9
methods	834.52 17.48
phenomena	0 105
back	191.92 218.08
competition	0 125
added	296.74 113.26
semi-local	0 4
specified	310 0
hebbian	0 123
asynchronously	0 17
decrement	0 22
specific	211.12 349.88
winner-take-all	0 68
bottom	0 244
avoid	308.98 0.02
thank	285.26 190.74
contributing	0.32 36.68
either	466.9 343.1
somehow	0.02 26.98
noise	396.14 242.86
run	254.48 79.52
power	174.4 210.6
schedule	10.54 41.46
processing	541.6 604.4
percepttons	45 0
stage	3.34 245.66
comparison	412.7 137.3
column	130.04 106.96
dependence	134.66 119.34
o	526 306
essential	58.9 149.1
compatible	0.02 52.98
addition	143.18 257.82
plus	209 0
associative	0 218
propagate	0 68
block	0.52 196.48
converging	56 0
computational	485.84 335.16
presence	90.1 234.9
previously	169.62 249.38
communication	0.12 138.88
preliminary	109.32 100.68
usa	12.38 139.62
three	487.56 542.44
down	96.66 190.34
pair	227.36 100.64
square	301.2 42.8
microstructure	0 95
proportional	129.26 209.74
refined	48.9 0.1
reducing	111.16 89.84
envision	0 7
eeprom	0 4
computer	644.1 321.9
resistors	0 26
area	0.56 368.44
transfer	0.16 229.84
support	231.9 201.1
ns	0 46
long	175.12 370.88
stuck	46 0
vax	7 0
fraction	135.28 79.72
naturally	148.52 46.48
form	845.58 299.42
adjusting	117 0
regard	94.1 1.9
histogram	0 94
correlated	0.22 198.78
related	408.5 241.5
larger	370.08 303.92
true	503.94 0.06
directed	73.32 36.68
arranged	0.06 115.94
stanford	94.92 3.08
characteristic	0 202
devices	0 79
below	224.26 223.74
represents	292.08 350.92
verification	0.04 23.96
demonstrate	247.54 183.46
stages	0.12 180.88
similar	571.16 584.84
rumelhart	0 165
bell	158 0
bearing	0 14
constant	444.52 304.48
universal	110 0
exceeded	0.2 21.8
yannis	0.3 3.7
al	87.16 94.84
general	852.24 105.76
globally	93.96 2.04
proper	112.24 52.76
single	520.66 643.34
diverse	0 57
right	249.24 330.76
inverter	3.9 8.1
floating	53 0
distributions	379 0
cmos	85 0
nj	166.9 0.1
compared	514.82 217.18
barto	50.98 0.02
storage	0 197
sampled	193.96 0.04
branch	0 50
papers	67 0
test	591.4 263.6
weights	704.76 207.24
decremented	0 6
conclusion	347.04 134.96
consisted	47.22 167.78
time	548.9 730.1
describe	386.92 175.08
includes	191.22 116.78
helping	15.88 0.12
important	501.06 420.94
pathways	0 62
cut-off	0 17
matrix	632 0
voltage-controlled	0 5
performance	836.84 189.16
algorithm	1097.46 0.54
stabilizes	0.02 17.98
necessitates	0.18 17.82
rule	438.46 116.54
inset	0 23
compete	24.06 24.94
searched	25.24 8.76
quantity	194 0
requires	420.84 210.16
chain	159 0
leads	393.86 79.14
causes	0 229
row	142.58 56.42
whose	509.46 191.54
feeding	0 48
violate	30 0
tn	31.46 0.54
finally	190 0
th	135 0
ta	30 0
every	544.18 105.82
matrices	217 0
condition	360 0
p	653.94 0.06
prevent	60.32 92.68
zj	29.98 0.02
prediction	408 0
elegant	37.4 0.6
giving	169.18 53.82
experiment	138.14 202.86
method	948 0
escaping	5.46 3.54
never	191.6 51.4
component	299.76 235.24
equals	97.98 0.02
groups	0.32 190.68
increments	4.46 32.54
periodic	0 102
zero-error	3 0
makes	391.38 156.62
explained	85.86 71.14
scaled	85.66 85.34
addressed	74.26 59.74
decrease	167.82 136.18
tools	93.94 0.06
positive	458.56 168.44
few	348.58 246.42
successful	153.02 72.98
acceptable	67.96 0.04
transient	0 70
teaching	27.22 0.78
cases	557 0
evolves	3.38 37.62
equation	712.96 0.04
example	733 165
give	562.3 10.7
want	195.9 0.1
sense	339.12 0.88
sought	0 29
respective	57.9 51.1
requirements	144.98 0.02
hoc	41 0
zero-mean	62 0
parameter	763 0
response	0 568
attempt	202.34 53.66
author	131 0
element	144.42 145.58
sm	0 17
amir	16 0
move	87.82 172.18
satisfied	91 0
ita	8.42 6.58
existence	100.36 87.64
before	235.72 367.28
le	137 0
feed-	55.6 0.4
acknowledge	0.02 98.98
solving	305 0
exhibits	0 141
scaling	250.26 0.74
yp	0 10
yt	51.42 1.58
possess	0 57
back-propagation	154.7 62.3
l	523.58 75.42
sufficiently	279.88 0.12
inequality	99.94 0.06
mean	695.28 129.72
obtains	80 0
entering	0.92 30.08
loops	0 56
special	478.98 2.02
rt	54 0
ultimately	0.06 61.94
denotes	391 0
attracted	38 0
rl	92.28 0.72
got	31.98 0.02
e-	44.98 0.02
indices	92 0
necessarily	226.88 0.12
put	113.04 87.96
beginning	2.68 143.32
thrown	14 0
pairs	211.58 118.42
backwards	0 31
derivation	154 0
motion	0 219
onto	67.92 268.08
well-known	148 0
management	42 0
similarly	112.76 41.24
scheme	205.2 165.8
asymmetric	0.02 67.98
time-dependence	0.1 3.9
completes	29 0
updating	146.86 0.14
iteration	258 0
project	0.1 155.9
matter	87 0
ktn	5 0
san	364.04 234.96
argument	125 0
say	202.48 0.52
manner	97.9 132.1
single-	0.12 20.88
generalizes	104.94 0.06
hopfield	124 0
ideal	0 141
objective	315 0
mit	495.8 127.2
begin	103.86 55.14
towards	167.68 148.32
unless	143 0
allow	319.92 205.08
reach	134.56 78.44
class	641.54 0.46
takes	339.24 150.76
steady	0 79
face	63.48 66.52
kp	13 0
tech	25.76 1.24
kv	6.98 0.02
abilities	46.94 20.06
sibly	0.22 3.78
atiya	7 0
solutions	359.82 0.18
completion	0 50
q-	344 0
equilibrium	41.18 82.82
dt	103.1 18.9
years	59.02 56.98
differentiating	58 0
regarding	77.02 40.98
approach	971.1 113.9
aea	5.96 0.04
requirement	129 0
achieved	319.28 189.72
inequalities	36 0
perceptrons	120 0
recently	234.3 123.7
extend	221.72 28.28
attention	116.74 86.26
transpose	35.98 0.02
wi	136 0
harvard	0.14 45.86
hypothesis	151.46 95.54
group	144.62 166.38
configuration	0.02 184.98
gratefully	30.12 41.88
annual	157.92 0.08
pdp	0 59
layered	117 0
minima	153 0
appeared	55.96 33.04
period	0 217
iterations	234.96 0.04
cw	6.7 0.3
ensures	95.98 18.02
applies	168 0
quickly	147.24 54.76
certain	394.9 179.1
direction	124.96 278.04
ensuring	43.96 0.04
developing	0 181
near	145.3 213.7
unsatisfactory	12 0
chaotic	65 0
ii	259.74 73.26
rim	1.14 3.86
economics	21 0
sequentially	0.04 60.96
containing	151 193
descent	341 0
pay	19.76 0.24
widely	168.94 0.06
settle	49.98 0.02
upon	122.62 216.38
purpose	156.14 83.86
insure	27.18 0.82
off	0 259
center	107.08 425.92
minimize	405.7 0.3
whole	170.5 126.5
analysis	629.52 336.48
backpropagation	276 0
dimension	342 0
t-	43.64 5.36
proposed	452.68 212.32
feedforward	252.78 71.22
intra-group	2.42 0.58
add	247 0
cog-	5.98 0.02
match	0.14 245.86
two-state	9.9 27.1
devised	0 47
possibly	169.88 0.12
know	293 0
unique	261.98 0.02
d	587.16 105.84
performing	211.96 97.04
steps	321.3 47.7
single-layer	0 47
satisfactory	55 0
escape	35.88 1.12
recognition	361.74 209.26
happens	69.78 26.22
tends	89.32 61.68
refer	253 0
oea	0 2
proceed	99.94 0.06
constraint	320 0
oe	48 0
oy	21 0
recognizer	59 0
pays	8.88 0.12
within	357.02 536.98
obtaining	118 0
appropriate	393.22 239.78
pos-	34.82 22.18
strictly	157 0
initial	535.6 294.4
opposed	1.76 91.24
iterates	20 0
partitioned	79 0
differentiable	80.98 0.02
ad	59.98 0.02
ag	32.66 0.34
ai	228 0
engineering	193 194
governed	0 90
av	0 20
ay	0.04 13.96
two-dimensional	0.04 171.96
electrical	63.2 222.8
department	507.52 223.48
u	354 0
nt	26 0
models	554.46 425.54
june	111.94 0.06
update	381 0
du	0 18
bounded	258 0
sides	72.98 0.02
structure	383.32 377.68
required	481.92 228.08
behavioral	0 117
sci-	0 26
having	330.86 160.14
once	340.56 119.44
neu-	0 210
illustrates	69.1 166.9
lack	95.12 63.88
existing	171.5 72.5
issues	181 0
poorly	99.08 22.92
calculate	251 0
marks	39 0
atlas	0 13
phonemes	0 54
norm	106 0
straightforward	213 0
frequencies	0.22 149.78
implicitly	94 0
bulletin	0.28 12.72
did	163.86 176.14
positions	0.2 233.8
discrete	403.3 37.7
interpolating	39.78 0.22
teh	3 0
zi	78 0
disciplines	0.02 6.98
past	132.9 80.1
rigorous	81 0
further	542.36 271.64
pat-	1.74 97.26
nonlinear	426.82 76.18
expressed	293 0
gen-	0.06 125.94
watrous	15 0
designing	40.02 52.98
international	422.76 34.24
calculates	49.98 0.02
lem	52 0
understanding	108.54 172.46
les	0 12
